,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
2,1,05/02/2020,New Zealand,Seddon Park,32,32,32.00,,0,,,0,,,,28 years 354 days,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
3,2,08/02/2020,New Zealand,Eden Park,3,35,17.50,,0,,,0,,,,28 years 357 days,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
4,3,11/02/2020,New Zealand,Bay Oval,1,36,12.00,,0,,1,1,,,,28 years 360 days,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
5,4,27/11/2020,Australia,Sydney Cricket Ground,22,58,14.50,,0,,,1,,,,29 years 285 days,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
6,5,29/11/2020,Australia,Sydney Cricket Ground,28,86,17.20,0/10,0,,1,2,,,,29 years 287 days,"Mayank Agarwal
            - One Day Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
2,,18/09/2018,Hong Kong,Dubai International Cricket Stadium,-,0,,3/48,3,16.00,1,1,,,,20 years 287 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
3,1,25/09/2018,Afghanistan,Dubai International Cricket Stadium,1*,1,,1/45,4,23.25,,1,,,,20 years 294 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
4,,21/10/2018,West Indies,Barsapara Cricket Stadium,-,1,,1/64,5,31.40,,1,,,,20 years 320 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
5,2,27/10/2018,West Indies,Maharashtra Cricket Association Stadium,3,4,4.00,1/65,6,37.00,,1,,,,20 years 326 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
6,,29/10/2018,West Indies,Brabourne Stadium,-,4,4.00,3/13,9,26.11,,1,,,,20 years 328 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
7,,01/11/2018,West Indies,Greenfield International Stadium,-,4,4.00,2/29,11,24.00,,1,,,,20 years 331 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
8,,12/01/2019,Australia,Sydney Cricket Ground,-,4,4.00,0/55,11,29.00,,1,,,,21 years 38 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
9,3,31/01/2019,New Zealand,Seddon Park,5,9,4.50,0/19,11,30.73,,1,,,,21 years 57 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
10,,08/08/2019,West Indies,Providence Stadium,-,9,4.50,0/27,11,33.18,,1,,,,21 years 246 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
11,,11/08/2019,West Indies,Queen's Park Oval,-,9,4.50,1/32,12,33.08,,1,,,,21 years 249 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
12,,14/08/2019,West Indies,Queen's Park Oval,-,9,4.50,3/68,15,31.00,,1,,,,21 years 252 days,"Khaleel Ahmed
            - One Day Internationals - Progressive Averages and Aggregates Summary"
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
2,1,05/06/2010,Sri Lanka,Harare Sports Club,38,38,38.00,2/50,2,25.00,,0,,,,23 years 261 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
3,,20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,-,38,38.00,1/34,3,28.00,,0,,,,24 years 33 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
4,2,28/11/2010,New Zealand,Nehru Stadium (Guwahati),0,38,19.00,3/50,6,22.33,,0,,,,24 years 72 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
5,,01/12/2010,New Zealand,Sawai Mansingh Stadium,-,38,19.00,1/52,7,26.57,,0,,,,24 years 75 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
6,,04/12/2010,New Zealand,Reliance Stadium,-,38,19.00,2/49,9,26.11,,0,,,,24 years 78 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
7,,07/12/2010,New Zealand,M Chinnaswamy Stadium,-,38,19.00,2/66,11,27.36,,0,,,,24 years 81 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
8,,10/12/2010,New Zealand,MA Chidambaram Stadium,-,38,19.00,3/24,14,23.21,,0,,,,24 years 84 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
9,3,20/03/2011,West Indies,MA Chidambaram Stadium,10*,48,24.00,2/41,16,22.88,1,1,,,,24 years 184 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
10,,24/03/2011,Australia,Narendra Modi Stadium,-,48,24.00,2/52,18,23.22,,1,,,,24 years 188 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
11,4,13/06/2011,West Indies,Sir Vivian Richards Stadium,15,63,21.00,1/39,19,24.05,,1,,,,24 years 269 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
12,5,16/06/2011,West Indies,Sabina Park,8*,71,23.67,0/50,19,26.68,,1,,,,24 years 272 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
13,6,03/09/2011,England,Riverside Ground,0,71,17.75,,19,26.68,,1,,,,24 years 351 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
14,7,06/09/2011,England,The Rose Bowl,1,72,14.40,2/42,21,26.14,,1,,,,24 years 354 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
15,8,09/09/2011,England,Kennington Oval,36*,108,21.60,3/40,24,24.54,,1,,,,24 years 357 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
16,,11/09/2011,England,Lord's,-,108,21.60,1/44,25,25.32,1,2,,,,24 years 359 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
17,9,16/09/2011,England,Sophia Gardens,0*,108,21.60,0/25,25,26.32,,2,,,,24 years 364 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
18,10,14/10/2011,England,Rajiv Gandhi International Stadium,8,116,19.33,3/35,28,24.75,1,3,,,,25 years 27 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
19,,17/10/2011,England,Arun Jaitley Stadium,-,116,19.33,1/56,29,25.83,,3,,,,25 years 30 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
20,,20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,-,116,19.33,0/45,29,27.38,,3,,,,25 years 33 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
21,,23/10/2011,England,Wankhede Stadium,-,116,19.33,3/38,32,26.00,,3,,,,25 years 36 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
22,11,25/10/2011,England,Eden Gardens,7,123,17.57,3/28,35,24.57,,3,,,,25 years 38 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
23,12,29/11/2011,West Indies,Barabati Stadium,6,129,16.13,1/30,36,24.72,,3,,,,25 years 73 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
24,,02/12/2011,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,-,129,16.13,1/74,37,26.05,1,4,,,,25 years 76 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
25,13,05/12/2011,West Indies,Narendra Modi Stadium,31,160,17.78,1/33,38,26.24,,4,,,,25 years 79 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
26,,08/12/2011,West Indies,Holkar Cricket Stadium,-,160,17.78,1/59,39,27.08,,4,,,,25 years 82 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
27,14,05/02/2012,Australia,Melbourne Cricket Ground,5,165,16.50,0/48,39,28.31,,4,,,,25 years 141 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
28,15,08/02/2012,Sri Lanka,WACA Ground,30*,195,19.50,3/32,42,27.05,,4,,,,25 years 144 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
29,16,12/02/2012,Australia,Adelaide Oval,1*,196,19.60,0/47,42,28.17,,4,,,,25 years 148 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
30,17,14/02/2012,Sri Lanka,Adelaide Oval,14,210,19.09,2/30,44,27.57,,4,,,,25 years 150 days,"Ravichandran Ashwin
            - One Day Internationals - Progressive Averages and Aggregates Summary"
