,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Name
0,Innings,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
1,Innings,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
2,,04/11/2018,West Indies,Eden Gardens,-,0,,1/16,1,16.00,,0,,,,20 years 334 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
3,,06/11/2018,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,-,0,,2/30,3,15.33,,0,,,,20 years 336 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
4,,11/11/2018,West Indies,MA Chidambaram Stadium,-,0,,0/37,3,27.67,,0,,,,20 years 341 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
5,,21/11/2018,Australia,Brisbane Cricket Ground,-,0,,1/42,4,31.25,1,1,,,,20 years 351 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
6,,23/11/2018,Australia,Melbourne Cricket Ground,-,0,,2/39,6,27.33,,1,,,,20 years 353 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
7,,25/11/2018,Australia,Sydney Cricket Ground,-,0,,0/35,6,33.17,,1,,,,20 years 355 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
8,1,06/02/2019,New Zealand,Westpac Stadium,1*,1,,1/48,7,35.29,1,2,,,,21 years 63 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
9,,08/02/2019,New Zealand,Eden Park,-,1,,2/27,9,30.44,,2,,,,21 years 65 days,"Khaleel Ahmed
            - T20 Internationals - Progressive Averages and Aggregates Summary"
